text,intent,args
включи музыку,music,"{'key': 'playpause'}"
запусти музыку,music,"{'key': 'playpause'}"
выключи музыку,music,"{'key': 'playpause'}"
музыка,music,"{'key': 'playpause'}"
дальше,music,"{'key': 'nexttrack'}"
назад,music,"{'key': 'prevtrack'}"
параметры звука,param_vol,"{}"
выключи компьютер,off_PC,"{}"
отключи компьютер,off_PC,"{}"
выключить компьютер,off_PC,"{}"
перезагрузить компьютер,restart_PC,"{}"
перезагрузи компьютер,restart_PC,"{}"
привет,hello,"{}"
уивер пока,eexit,"{}"
обер пока,eexit,"{}"
овер пока,eexit,"{}"
лорд пока,eexit,"{}"
оверлорд пока,eexit,"{}"
открой доту,open_dota,"{}"
запусти доту,open_dota,"{}"
включи помойку,open_dota,"{}"
инициализация,reload,"{}"
проверь микрофоны,reload,"{}"
найди микрофоны,reload,"{}"
уивер пиши,insert_request,"{}"
обер пиши,insert_request,"{}"
овер пиши,insert_request,"{}"
лорд пиши,insert_request,"{}"
оверлорд пиши,insert_request,"{}"
найти в ютюбе,search_youtube,"{}"
найди в ютьюбе,search_youtube,"{}"
найди в ютубе,search_youtube,"{}"

громче,vol_set,"{'vol': 'vol_up'}"
увеличь громкость,vol_set,"{'vol': 'vol_up'}"
тише,vol_set,"{'vol': 'vol_down'}"
уменьши громкость,vol_set,"{'vol': 'vol_down'}"
холодно,conditioner_mod,"{'mod': 'off'}"
мне холодно,conditioner_mod,"{'mod': 'off'}"
жарко,conditioner_mod,"{'mod': 'cool'}"
мне жарко,conditioner_mod,"{'mod': 'cool'}"

включить свет,light,"{'state': 'ON'}"
включи свет,light,"{'state': 'ON'}"
выключить свет,light,"{'state': 'OFF'}"
выключи свет,light,"{'state': 'OFF'}"
включить розетку,charger,"{'state': 'ON'}"
включи розетку,charger,"{'state': 'ON'}"
выключить розетку,charger,"{'state': 'OFF'}"
выключи розетку,charger,"{'state': 'OFF'}"

я люблю музыку,another,"{}"
дальше лучше,another,"{}"
назад дороги нет,another,"{}"
громче некуда,another,"{}"
тише некуда,another,"{}"
бывает жарко,another,"{}"
бывает холодно,another,"{}"
включи мозг,another,"{}"
выключи газ,another,"{}"
перезагрузи программу,another,"{}"
перезагрузить программу,another,"{}"
проверь холодильник,another,"{}"
уменьши дальность,another,"{}"
увеличь дальность,another,"{}"
не,another,"{}"
купил компьютер,another,"{}"
закинул в компьютер,another,"{}"
пока,another,"{}"
пока пока,another,"{}"
давай пока,another,"{}"
родной пиши,another,"{}"
давай пиши,another,"{}"
тише тише,another,"{}"
